system:index,EVI,LC_Type1,NDVI,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07,year,.geo
0_121,4460.869565217391,2,7296.652173913043,463.2608695652174,2808.8695652173915,512.695652173913,612.8260869565217,2001,"{""type"":""Point"",""coordinates"":[115.10289382554836,2.515017363463071]}"
0_124,4170.826086956522,2,6985.260869565217,615.9130434782609,2914.608695652174,495.30434782608694,631.2173913043479,2001,"{""type"":""Point"",""coordinates"":[115.26857795301468,3.6636266762482075]}"
0_125,4013.521739130435,2,6181.782608695652,903.0,3313.7391304347825,759.3913043478261,765.9565217391304,2001,"{""type"":""Point"",""coordinates"":[114.85237320344565,1.676231480395658]}"
0_135,4739.173913043478,8,7088.217391304348,585.9565217391304,3195.913043478261,555.0869565217391,741.1304347826087,2001,"{""type"":""Point"",""coordinates"":[111.68735141800938,0.9105270897376322]}"
0_137,5123.478260869565,2,7964.782608695652,405.30434782608694,3296.086956521739,355.60869565217394,604.1304347826087,2001,"{""type"":""Point"",""coordinates"":[100.84141206930374,4.919356842011145]}"
0_138,3996.913043478261,2,7419.695652173913,543.1739130434783,2674.2608695652175,450.1304347826087,525.3913043478261,2001,"{""type"":""Point"",""coordinates"":[116.16036476614615,1.9833251864771284]}"
0_140,4637.782608695652,8,6639.217391304348,715.2608695652174,3324.782608695652,619.6521739130435,737.0,2001,"{""type"":""Point"",""coordinates"":[101.03606701935028,1.4291322979468397]}"
0_141,5775.130434782609,2,8289.739130434782,348.4347826086956,3660.478260869565,229.52173913043478,612.8695652173913,2001,"{""type"":""Point"",""coordinates"":[116.67193652145707,2.7997220022368245]}"
0_142,2845.1739130434785,13,4356.652173913043,1100.2608695652175,2793.3478260869565,725.8260869565217,1626.8260869565217,2001,"{""type"":""Point"",""coordinates"":[100.45758790761178,7.013040278496757]}"
0_143,4636.391304347826,2,7040.260869565217,664.2173913043479,3320.0,520.304347826087,576.0,2001,"{""type"":""Point"",""coordinates"":[110.88998691208094,1.438164392877039]}"
0_151,4237.217391304348,2,7751.608695652174,326.3478260869565,2477.5652173913045,343.9130434782609,481.04347826086956,2001,"{""type"":""Point"",""coordinates"":[114.8832937333855,2.9887047921852172]}"
0_152,4647.478260869565,2,7258.391304347826,675.0434782608696,3387.086956521739,634.0869565217391,684.1304347826087,2001,"{""type"":""Point"",""coordinates"":[103.10361107647311,2.415200944006914]}"
0_157,4761.391304347826,2,8098.391304347826,294.5217391304348,2690.608695652174,279.7391304347826,411.69565217391306,2001,"{""type"":""Point"",""coordinates"":[115.02031794309642,2.9762303476736416]}"
0_164,5008.0,2,7616.565217391304,469.39130434782606,3368.478260869565,350.1304347826087,666.9565217391304,2001,"{""type"":""Point"",""coordinates"":[117.27589482720678,1.1420451338742954]}"
0_166,-109.57142857142857,17,-322.7142857142857,1809.857142857143,1763.142857142857,1287.5714285714287,664.5714285714286,2001,"{""type"":""Point"",""coordinates"":[111.29478398009992,2.285330066648862]}"
0_169,3696.3478260869565,2,6717.608695652174,576.4347826086956,2562.217391304348,458.9130434782609,716.304347826087,2001,"{""type"":""Point"",""coordinates"":[115.83783716547998,4.291247488276719]}"
0_170,4647.695652173913,11,7708.434782608696,369.39130434782606,2804.4347826086955,349.6521739130435,278.4347826086956,2001,"{""type"":""Point"",""coordinates"":[100.66118403332688,4.750640057663048]}"
0_171,4445.913043478261,2,6870.652173913043,759.1304347826087,3259.3478260869565,641.1304347826087,747.304347826087,2001,"{""type"":""Point"",""coordinates"":[102.62677603878313,2.500656936602403]}"
0_172,4578.565217391304,2,7239.086956521739,571.7826086956521,3208.7391304347825,443.5217391304348,700.304347826087,2001,"{""type"":""Point"",""coordinates"":[117.60369093847925,4.752374338274685]}"
0_173,4967.130434782609,2,8541.04347826087,245.69565217391303,2920.7391304347825,156.69565217391303,490.17391304347825,2001,"{""type"":""Point"",""coordinates"":[114.68263219383604,2.4914693618373307]}"
0_175,4015.5652173913045,2,5978.04347826087,1264.2173913043478,3517.217391304348,1120.0,993.9565217391304,2001,"{""type"":""Point"",""coordinates"":[101.59496501844649,5.278875579791621]}"
0_183,4855.130434782609,2,6871.869565217391,655.5652173913044,3416.521739130435,512.9130434782609,690.2608695652174,2001,"{""type"":""Point"",""coordinates"":[118.68134504723943,5.576169634979231]}"
0_187,3368.9565217391305,14,5683.695652173913,850.9565217391304,2794.782608695652,608.8695652173913,1024.2173913043478,2001,"{""type"":""Point"",""coordinates"":[100.41409057509473,1.4216782365264118]}"
0_191,4538.086956521739,2,7763.130434782609,412.4347826086956,2827.3478260869565,324.7826086956522,569.1304347826087,2001,"{""type"":""Point"",""coordinates"":[114.93750800425502,1.3613987141545445]}"
0_192,4117.478260869565,2,7163.739130434783,533.2608695652174,2766.1304347826085,465.2173913043478,532.2608695652174,2001,"{""type"":""Point"",""coordinates"":[100.75558456197595,1.7443887758980077]}"
0_200,5051.0,2,7501.521739130435,519.2608695652174,3329.7391304347825,457.1304347826087,568.0434782608696,2001,"{""type"":""Point"",""coordinates"":[116.31357345208781,3.2353273380752143]}"
0_201,4709.304347826087,2,7446.565217391304,486.1304347826087,3098.5652173913045,367.6521739130435,555.8260869565217,2001,"{""type"":""Point"",""coordinates"":[115.71632557500126,3.622361543176089]}"
0_202,5074.521739130435,2,7621.391304347826,512.0869565217391,3453.6521739130435,404.60869565217394,678.304347826087,2001,"{""type"":""Point"",""coordinates"":[117.39369247331577,2.2155317773727234]}"
0_203,4463.652173913043,2,6812.173913043478,734.6086956521739,3326.913043478261,613.4347826086956,650.5217391304348,2001,"{""type"":""Point"",""coordinates"":[115.16514052762265,0.8676348408172352]}"
0_206,5173.086956521739,2,7070.130434782609,704.1304347826087,3555.9565217391305,699.5652173913044,789.9130434782609,2001,"{""type"":""Point"",""coordinates"":[108.1649980155541,3.6521078615810643]}"
0_207,4561.521739130435,2,7338.869565217391,560.6086956521739,3118.1304347826085,507.60869565217394,638.5217391304348,2001,"{""type"":""Point"",""coordinates"":[103.26418876311058,4.7712486979151105]}"
0_208,4536.565217391304,2,7330.695652173913,657.1739130434783,3284.391304347826,557.6521739130435,669.6521739130435,2001,"{""type"":""Point"",""coordinates"":[99.9005908479914,7.196339361080708]}"
0_209,5131.260869565217,2,7628.260869565217,445.0,3157.391304347826,421.4782608695652,621.0,2001,"{""type"":""Point"",""coordinates"":[117.28747944624412,5.416971752402471]}"
0_219,5039.608695652174,11,7785.04347826087,454.6521739130435,3029.3478260869565,451.3478260869565,499.69565217391306,2001,"{""type"":""Point"",""coordinates"":[111.9358147622796,1.1908170577093953]}"
0_222,4124.652173913043,2,6362.478260869565,803.2608695652174,3131.9565217391305,727.3478260869565,732.9130434782609,2001,"{""type"":""Point"",""coordinates"":[114.05433871539542,3.326006417387247]}"
0_224,5697.130434782609,8,7565.652173913043,651.2608695652174,4038.8260869565215,521.7391304347826,833.695652173913,2001,"{""type"":""Point"",""coordinates"":[117.81818883813459,5.58246991047451]}"
0_234,5728.913043478261,2,8263.08695652174,366.7391304347826,3650.7391304347825,264.60869565217394,678.304347826087,2001,"{""type"":""Point"",""coordinates"":[116.45867170691069,6.2153102140444245]}"
0_237,3524.1304347826085,10,5748.0,760.9130434782609,2788.5652173913045,480.2608695652174,1194.9565217391305,2001,"{""type"":""Point"",""coordinates"":[99.62691969876371,1.5338334293492555]}"
0_239,5626.565217391304,2,8179.913043478261,372.3478260869565,3527.1739130434785,345.04347826086956,527.8260869565217,2001,"{""type"":""Point"",""coordinates"":[100.854067950699,4.585483801746781]}"
0_250,5510.695652173913,8,7187.217391304348,707.304347826087,4032.782608695652,547.6521739130435,903.7826086956521,2001,"{""type"":""Point"",""coordinates"":[118.45295946283063,5.499629517056645]}"
0_254,3671.478260869565,12,6088.652173913043,794.3478260869565,2997.3478260869565,523.9130434782609,918.6086956521739,2001,"{""type"":""Point"",""coordinates"":[100.06949331921535,2.589019584009187]}"
0_255,5014.347826086957,2,8150.739130434783,354.0869565217391,3058.9565217391305,358.4347826086956,506.0869565217391,2001,"{""type"":""Point"",""coordinates"":[116.32293928419541,3.039933693050365]}"
0_259,4447.826086956522,2,7376.826086956522,580.6086956521739,3046.217391304348,444.5217391304348,630.8260869565217,2001,"{""type"":""Point"",""coordinates"":[117.66614247123195,4.027407144930958]}"
0_261,4614.95652173913,2,7472.565217391304,486.2173913043478,2988.6521739130435,405.69565217391306,518.304347826087,2001,"{""type"":""Point"",""coordinates"":[111.862401671845,2.2862553528364162]}"
0_264,4492.304347826087,2,7658.695652173913,408.0869565217391,2852.0434782608695,386.0,563.2608695652174,2001,"{""type"":""Point"",""coordinates"":[114.27891016831606,1.8554172692768944]}"
0_266,3572.0434782608695,12,5353.347826086957,994.0,3105.8695652173915,696.6521739130435,907.6086956521739,2001,"{""type"":""Point"",""coordinates"":[102.30548703728745,6.087608085802859]}"
0_268,4822.391304347826,2,8063.608695652174,364.0,3011.304347826087,288.4347826086956,517.9130434782609,2001,"{""type"":""Point"",""coordinates"":[116.21549021833096,5.811581898832964]}"
0_269,4946.608695652174,2,7377.478260869565,518.8695652173913,3175.217391304348,587.6521739130435,692.9565217391304,2001,"{""type"":""Point"",""coordinates"":[111.60364708523461,1.2872923782361598]}"
0_270,4490.304347826087,14,6381.391304347826,802.2173913043479,3488.3478260869565,655.7826086956521,1033.7391304347825,2001,"{""type"":""Point"",""coordinates"":[101.37426003234029,1.263896462072819]}"
